tweet_id,sentiment,author,content
1753871849,enthusiasm,MileyCFanClub,When we got more followers we gonna have a competition.Hope you all look forward !
1963004275,sadness,jelloonsprings,@ohcherub  Yeah I know what you mwan.
1957293095,sadness,NikkiMontana,@USOuljah Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee  LOL
1962861114,worry,Rblvd,its overcast today again  it looks like it wants to clear up but i doubt it :/
1751325671,worry,sirmax70,@kmaco214 No code I think @sunnieM coined the phrase Hottie Switchfoot Guy for Tim HSG for short  ~wendy~
1961296251,sadness,shakirawr,now my ds just died  whatta letdown!
1957130105,happiness,jgomez89,"@hiracdelest who's the one always working now?  oh yeah, still me."
1960991329,worry,MadBradMitchell,"Well, my dog still isn't at the shelter. I hope someone good has him"
1962100678,hate,vanee,"ï¿½anisalovesu me too. I am so so upset,especially because i fear i won't get a Jared hug tomorrow"
1753853630,sadness,MissLaura317,Finally going to bed after staying up reading the script for &quot;Remember Me.&quot; So sad but sooo good! Happy Mother's Day to all the Mother's!
1694664449,fun,XGraceStAcKX,@shaundiviney green day are the bomb  xx
1751986160,love,Jakeyybear,"I mean i'm tired, and sooooo freakin in love with my @airrbear."
1963419502,sadness,arianamarieee,i neeeeed plans. no one can hang out tomorrow. booo.
1750963783,boredom,HannahHannah92,@GregInsco thats another sponsor
1957223393,sadness,gfunkunit,@Brookeleeadams hang in there- health should be priority #1 right now! i do hate seeing good people get mistreated so i'm genuinely sorry
1966056478,worry,TehToby,Trying to go to sleep but no luck  I think i'm sick... =S
1694237789,happiness,DukeSkywalker,@MarieLuv ahh that would rock
1965656508,worry,steph2853,Poor Flores! Not happy about the latest news  #Nats
1960435083,neutral,siokyin,"@ 102.7 KIIS-FM hey, I can't seems to get ryan's show online, what's not right then?"
1961699242,sadness,dBeatz,Damn...the right side of my earphones just stopped working all of a sudden. Now I need to buy new ones...
1753236995,worry,cindersinc,"http://twitpic.com/4woxf - Hehe, I flew a plane.. the pink t-shirt is me"
1960754735,fun,jayohsee,"@teaanyone why not?  its the most retarded thing someone could do at their 16th, and you know me- I like to be retarded. 8("
1962959302,surprise,terlieslie,and why is everyone having a nice weather but prague
1695653958,fun,pengpengs,"I promise to post new mini magical village today, the weather is perfect for it   See preview here: http://pengpengsplace.blogspot.com"
